profile,config_id,scenario,split,controller,alpha,seed,n,delay_bins,jobs,mean_resource_fraction,metric_status,metric_reason,p95_wait,p99_wait,selected_on_validation,weighted_event_approximation
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.03,1731,100,1,720000,0.99375,ok,,12204.338787163762,18616.651639054664,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.1,1731,100,1,720000,0.99375,ok,,12204.338787163762,18616.651639054664,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,0.3,1731,100,1,720000,0.9927083333333333,ok,,12421.219888374444,18536.531880423456,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,1.0,1731,100,1,720000,0.9857291666666668,ok,,12751.529828341825,18748.984732140638,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,3.0,1731,100,1,720000,0.9784375,ok,,13110.796365439259,19793.222427325258,False,True
paper,paper-pareto-n100-d1,high_volume,validation,gp_ucb_mf_mpc,100.0,1731,100,1,720000,0.9638888888888889,ok,,14588.635778456555,21838.584008239744,True,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.01,1731,100,1,720000,0.9911805555555556,ok,,12244.799710259938,18528.31469990689,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.03,1731,100,1,720000,0.8315972222222223,ok,,18511.18033568932,25353.792246883946,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.1,1731,100,1,720000,0.8001736111111112,ok,,19346.066296139157,32943.89760200075,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,0.3,1731,100,1,720000,0.786875,ok,,19267.029200222187,24649.87363184231,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,1.0,1731,100,1,720000,0.7707986111111111,ok,,19553.752696495765,28823.57143552004,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,3.0,1731,100,1,720000,0.7549305555555555,ok,,19286.349965007925,27132.179102527618,False,True
paper,paper-pareto-n100-d1,high_volume,validation,oracle_mf_mpc,100.0,1731,100,1,720000,0.7295138888888889,ok,,16770.159176554924,27479.099575665197,True,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.01,1732,100,1,720000,0.9599652777777777,ok,,15388.015852248644,22492.28187069198,False,True
paper,paper-pareto-n100-d1,high_volume,validation,seasonal_mf_mpc,0.03,1732,100,1,720000,0.5995138888888889,ok,,111321.206924124,128852.28059219234,False,True
