experiment,scenario,controller,n,delay_bins,service_model,metric,mean,median,ci95_low,ci95_high,seeds,total_seeds
delay_sensitivity,bursty,reactive,100,2,empirical,overload_fraction,0.017361111111111112,0.017361111111111112,0.017361111111111112,0.017361111111111112,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,0,empirical,mean_wait,436.16944521026454,447.13448087090626,408.2042176074078,462.853249177624,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,0,empirical,p95_wait,2017.5381246237405,2021.9761446394493,1884.3456942213581,2157.670740852304,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,0,empirical,p99_wait,6287.972660800781,6271.382316507744,5873.525978912345,6705.770184403539,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,0,empirical,mean_response,439.7715828131945,450.7647336410504,411.78686694057154,466.504864170184,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,0,empirical,p95_response,2032.216801220064,2036.1371615266216,1898.4918077452116,2172.78400990945,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,0,empirical,mean_resource_fraction,0.2735416666666667,0.2735416666666667,0.2735416666666667,0.2735416666666667,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,0,empirical,slo_violation_fraction,0.3688665277777778,0.3668486111111111,0.36216702083333335,0.3755248645833333,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,0,empirical,overload_fraction,0.1736111111111111,0.1736111111111111,0.1736111111111111,0.1736111111111111,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,2,empirical,mean_wait,17628.35696711337,17780.395316404443,14835.579422261984,20627.59348880432,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,2,empirical,p95_wait,55547.915075307734,53653.93800608645,46019.4554026354,65512.606173349996,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,2,empirical,p99_wait,66023.1416764142,63174.2843493788,55932.327881326644,76555.46834344072,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,2,empirical,mean_response,17631.9591047163,17783.89549562318,14839.156205592342,20631.245143513905,10,10
high_volume_delay_robustness,high_volume,ewma_mf_mpc,100,2,empirical,p95_response,55550.07889005998,53655.85166796735,46021.543486311435,65514.443885755805,10,10
