profile,config_id,experiment,scenario,controller,seed,n,delay_bins,service_model,jobs,metric_status,metric_reason,mean_wait,mean_response,p95_wait,p99_wait,p95_response,mean_resource_fraction,server_time_resource_cost,scaling_actions,mean_absolute_target_change,overload_fraction,slo_violation_fraction
paper,paper,primary,bursty,seasonal_mf_mpc,1734,100,1,empirical,70283,ok,,293029.9802445112,293078.86912332574,737638.4078200462,758955.1689926188,737648.1580627932,0.0774305555555555,669000.0,14,0.940766550522648,0.0173611111111111,0.5322624247684362
paper,paper,primary,bursty,ewma_mf_mpc,1734,100,1,empirical,70283,ok,,130198.04174166232,130246.93062047672,388668.5007696101,406283.6132412294,388680.90337079327,0.1029861111111111,889800.0,15,0.662020905923345,0.0173611111111111,0.5526656517223226
paper,paper,primary,bursty,gp_mean_mf_mpc,1734,100,1,empirical,70283,ok,,12849.798727412155,12898.687606226584,58989.63954583955,73396.28522365831,59008.259339792414,0.1171875,1012500.0,58,3.1149825783972127,0.0173611111111111,0.4622739496037448
paper,paper,primary,bursty,gp_ucb_mf_mpc,1734,100,1,empirical,70283,ok,,14583.529256240468,14632.418135054888,51789.47633354184,62286.91186814579,51830.37163840942,0.1237152777777777,1068900.0,65,3.240418118466899,0.0173611111111111,0.4863907346015395
paper,paper,primary,bursty,oracle_mf_mpc,1734,100,1,empirical,70283,ok,,20383.210560364383,20432.09943917881,66063.16171258589,78127.59708591102,66094.99074975029,0.0713541666666666,616500.0,14,0.940766550522648,0.0173611111111111,0.5597228348249221
paper,paper,primary,bursty,static,1733,100,1,empirical,70603,ok,,313773.83232571906,313821.6785246268,772592.577774562,789712.02364736,772596.2758510046,0.05,432000.0,0,0.0,0.0173611111111111,0.5685027548404459
paper,paper,primary,bursty,reactive,1733,100,1,empirical,70603,ok,,202328.330582578,202376.1767814857,543438.1322577747,558333.2020697079,543449.0995333648,0.0618055555555555,534000.0,10,0.6968641114982579,0.0173611111111111,0.5635737858164668
paper,paper,primary,bursty,seasonal_mf_mpc,1733,100,1,empirical,70603,ok,,290150.5045812923,290198.35078020004,768907.1141520229,789712.02364736,768916.0208235256,0.0774305555555555,669000.0,14,0.940766550522648,0.0173611111111111,0.5318470886506239
paper,paper,primary,bursty,ewma_mf_mpc,1733,100,1,empirical,70603,ok,,133649.6826613505,133697.5288602582,433758.0567784288,451487.20160637726,433766.3081959724,0.1029861111111111,889800.0,15,0.662020905923345,0.0173611111111111,0.5476962735294534
paper,paper,primary,bursty,gp_mean_mf_mpc,1733,100,1,empirical,70603,ok,,10770.643559618797,10818.489758526515,52345.86334690178,62414.91995180246,52381.96138401048,0.1171875,1012500.0,58,3.1149825783972127,0.0173611111111111,0.415194821749784
paper,paper,primary,bursty,gp_ucb_mf_mpc,1733,100,1,empirical,70603,ok,,10063.776981399158,10111.623180306882,49766.97874129037,69907.6923762681,49825.55671175074,0.1237152777777777,1068900.0,65,3.240418118466899,0.0173611111111111,0.454924011727547
paper,paper,primary,bursty,oracle_mf_mpc,1733,100,1,empirical,70603,ok,,16050.42925182184,16098.275450729565,51582.389040487615,60668.62738663886,51636.061409934206,0.0713541666666666,616500.0,14,0.940766550522648,0.0173611111111111,0.5594379842216336
paper,paper,primary,bursty,static,1730,100,1,empirical,70329,ok,,293259.852138599,293305.1335557646,728708.2166365477,746192.0582153873,728712.5647321577,0.05,432000.0,0,0.0,0.0173611111111111,0.571968889078474
paper,paper,primary,bursty,reactive,1730,100,1,empirical,70329,ok,,186335.8811318054,186381.16254897093,599933.8189932901,617089.7160834635,599944.02895925,0.0618055555555555,534000.0,10,0.6968641114982579,0.0173611111111111,0.5675041590240157
paper,paper,primary,bursty,seasonal_mf_mpc,1730,100,1,empirical,70329,ok,,270494.7526285008,270540.03404566646,725150.1497091079,746192.0582153873,725151.5967459541,0.0774305555555555,669000.0,14,0.940766550522648,0.0173611111111111,0.5345163446089095
paper,paper,primary,bursty,ewma_mf_mpc,1730,100,1,empirical,70329,ok,,119655.87316315614,119701.15458032172,443914.6715822947,461829.32626310975,443921.0448688088,0.1029861111111111,889800.0,15,0.662020905923345,0.0173611111111111,0.5509675951598914
paper,paper,primary,bursty,gp_mean_mf_mpc,1730,100,1,empirical,70329,ok,,10479.906056794363,10525.187473959944,42790.53821752135,56858.36273147748,42851.16717853532,0.1171875,1012500.0,58,3.1149825783972127,0.0173611111111111,0.4664647584922294
paper,paper,primary,bursty,gp_ucb_mf_mpc,1730,100,1,empirical,70329,ok,,10405.153476337198,10450.434893502776,49380.58738320879,71765.14638294469,49434.19284382453,0.1237152777777777,1068900.0,65,3.240418118466899,0.0173611111111111,0.4779962746519928
paper,paper,primary,bursty,oracle_mf_mpc,1730,100,1,empirical,70329,ok,,25991.222573453248,26036.503990618818,73537.48621158682,80290.27169705695,73544.52976529025,0.0713541666666666,616500.0,14,0.940766550522648,0.0173611111111111,0.5627123946025111
paper,paper,primary,bursty,static,1729,100,1,empirical,70057,ok,,291655.8977168473,291701.18124540604,745392.552612413,763660.8155613451,745396.9506184129,0.05,432000.0,0,0.0,0.0173611111111111,0.5721626675421443
